"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fam83e",4.88643931565137e-07,0.717079823746074,0.176,0.262,0.00146593179469541
"Usp7",4.99313788265108e-07,1.223138378937,0.184,0.265,0.00149794136479532
"Ndufa10l1.1",5.19292401195323e-07,-0.52851629842359,0.184,0.169,0.00155787720358597
"Ran",5.24406149760699e-07,1.01825141570151,0.115,0.181,0.0015732184492821
"Ccl2",5.76034150575139e-07,-2.37224539282739,0.322,0.029,0.00172810245172542
"Atp6v1h",6.53177687384458e-07,1.28526390897443,0.303,0.228,0.00195953306215337
"Ppfia1",6.68588569791729e-07,1.75646453347446,0.197,0.173,0.00200576570937519
"Rpl15",7.12796754529903e-07,1.72622853371521,0.152,0.25,0.00213839026358971
"Rps23",7.16258614180427e-07,-1.08137423927914,0.18,0.27,0.00214877584254128
"Cyp4f1",7.35232244993652e-07,0.925432110951825,0.307,0.284,0.00220569673498096
"Riok3",7.38083824156835e-07,-0.632398309906977,0.225,0.362,0.0022142514724705
"Rnf149",7.64233762721724e-07,-1.08270879607511,0.225,0.102,0.00229270128816517
"B4galnt4",8.36790856196742e-07,0.310340051458877,0.215,0.206,0.00251037256859023
"Tspo",8.57178018216146e-07,-0.282104191278957,0.158,0.092,0.00257153405464844
"Bst2",9.46333358848311e-07,-0.678881993701828,0.184,0.2,0.00283900007654493
"Rrp9",9.55449047834382e-07,-1.47923425514975,0.143,0.05,0.00286634714350315
"Vps52",9.86137838930135e-07,0.764605060593628,0.201,0.223,0.0029584135167904
"Stard7",1.13799716772239e-06,1.4621393640859,0.158,0.173,0.00341399150316716
"Cycs",1.16762127743199e-06,-0.978524841177547,0.283,0.235,0.00350286383229598
"Ghrl",1.33352265562486e-06,-0.535358163870382,0.133,0.022,0.00400056796687458
"Snu13",1.55675298539441e-06,-1.20110818908663,0.135,0.102,0.00467025895618322
"Ears2",1.63781643602548e-06,-0.693109876939626,0.186,0.035,0.00491344930807643
"Rpl12-ps1",1.69886989969054e-06,-2.80557704647327,0.119,0.037,0.00509660969907161
"Dhx30",1.91858042913389e-06,1.2710143982714,0.115,0.124,0.00575574128740167
"Aldob",1.93837796766053e-06,0.675971628798543,0.533,0.438,0.00581513390298159
"Dnajc7",1.943808803504e-06,0.318409679928939,0.248,0.242,0.00583142641051199
"Prpf4b",1.96019404997432e-06,1.16229727820067,0.209,0.24,0.00588058214992296
"Prpf38b",2.0460362012164e-06,0.710570138713159,0.252,0.309,0.00613810860364921
"Ep300",2.09224424786925e-06,1.15355924331403,0.236,0.24,0.00627673274360774
"Rps19",2.21219448511968e-06,-0.607017031499248,0.129,0.18,0.00663658345535904
"Metap1",2.2473642716855e-06,0.504886731894905,0.246,0.218,0.0067420928150565
"P2rx1",2.4381646113106e-06,-1.03446412778269,0.355,0.099,0.00731449383393181
"Bco1",2.48365416225026e-06,-0.378912434497936,0.479,0.346,0.00745096248675077
"Atp1b3",2.68868815060054e-06,1.36701179859263,0.359,0.332,0.00806606445180161
"Hnrnpa0",2.74369105324256e-06,-0.46936450305682,0.158,0.183,0.00823107315972767
"Zfp260",2.76904846508037e-06,-0.483644983963041,0.193,0.141,0.00830714539524111
"Rfc2",2.77414700356661e-06,0.444092136030755,0.197,0.154,0.00832244101069984
"Lama5",2.81267258654257e-06,-0.528982494738827,0.236,0.32,0.00843801775962772
"Carm1",3.0353063361473e-06,-0.315157796813528,0.168,0.248,0.00910591900844191
"Tpm2",3.04081950265349e-06,-1.35405630197821,0.148,0.267,0.00912245850796047
"Slc25a45",3.12843695568522e-06,-1.37643661465714,0.182,0.104,0.00938531086705566
"Scly",3.17747813775046e-06,-0.536747700389817,0.09,0.112,0.00953243441325138
"Nts",3.34420334695611e-06,-0.600007940242199,0.311,0.404,0.0100326100408683
"Hars1",3.49393475632258e-06,-1.01109634323849,0.219,0.111,0.0104818042689677
"Coq10a",3.52590816718391e-06,-0.943340163968671,0.23,0.052,0.0105777245015517
"Paics",3.82657268069525e-06,-1.00479053770619,0.113,0.074,0.0114797180420857
"Ifrd2",3.92502329768392e-06,2.13780914891432,0.113,0.203,0.0117750698930518
"Gpank1",3.96435996697786e-06,1.12022512371682,0.178,0.23,0.0118930799009336
"Dusp23",3.98236316716998e-06,-1.57759928813747,0.311,0.253,0.0119470895015099
"Tbcc",4.02589615278439e-06,-0.788128040190925,0.221,0.238,0.0120776884583532
"Bmp1",4.14797129351357e-06,-0.47822494505791,0.314,0.2,0.0124439138805407
