"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptgs1",0.00284713558998384,-1.47428281059753,0.357,0.216,1
"Pkd1",0.00284713558998384,1.92071196722628,0.262,0.137,1
"Usf2",0.00284713558998384,-1.37865097626001,0.429,0.314,1
"LOC100359916",0.00284713558998384,-0.473578825172998,0.262,0.235,1
"Gvin1",0.0029197993211156,-1.6265952845467,0.833,0.333,1
"Parp10",0.0029197993211156,1.84813900777247,0.095,0.255,1
"Dele1",0.00299415182946891,-0.456466047773384,0.619,0.314,1
"Ppp1r2",0.00299415182946891,0.901448988604773,0.095,0.333,1
"Samd1",0.00307022782978886,1.16513173258499,0.857,0.314,1
"Med24",0.00307022782978886,0.277310587299018,0.548,0.314,1
"Plekhg2",0.00307022782978886,3.03745897891042,0.167,0.255,1
"Prph",0.00314761335646821,-1.69716972359849,0.595,0.255,1
"Tcirg1",0.00314806263370054,-0.471944551116862,0.31,0.118,1
"Orai3",0.00314806263370054,3.20207736183666,0.381,0.294,1
"Faap100",0.00322769215714026,-2.44838852687085,0.952,0.333,1
"Zfp277",0.00330915292781278,0.528437626410498,0.214,0.333,1
"Secisbp2",0.00330915292781278,4.75802299743391,0.31,0.255,1
"Pip4p1",0.00330915292781278,2.44286337620186,0.238,0.235,1
"Coq8a",0.00339248209267309,-0.518211745465713,0.905,0.333,1
"Coq7",0.00339248209267309,0.680754191338475,0.69,0.314,1
"Fbxo22",0.00339248209267309,1.4189553458907,0.595,0.314,1
"Eid1",0.00339248209267309,0.517014466098945,0.619,0.353,1
"Oxnad1",0.00347771742543081,-1.24802643711388,0.167,0.216,1
"Ep400",0.00356489733407571,2.01578701114073,0.81,0.314,1
"Fabp5",0.00356489733407571,0.823285453269581,0.738,0.373,1
"Tceal9",0.00365406086842233,-1.48848187184572,1,0.353,1
"Rps15",0.00365406086842233,1.20674149617758,0.524,0.902,1
"Lgals1",0.00365406086842233,1.63731105916951,0.238,0.216,1
"Ppfia1",0.00365406086842233,2.03320586387801,0.214,0.216,1
"Ptpn2",0.00374524772767215,-0.400575801596602,0.619,0.314,1
"Kat5",0.00374524772767215,-0.345475030887011,0.071,0.294,1
"Akna",0.00374524772767215,-1.76553310013217,0.286,0.118,1
"App",0.00374524772767215,3.58933654797486,0.119,0.255,1
"Inip",0.00393385351010058,-0.787944771849733,0.81,0.333,1
"Rpl27al3.1",0.00393385351010058,-0.952987428620151,0.214,0.686,1
"Abcf2",0.00393385351010058,0.380374695392899,0.786,0.333,1
"C18h18orf21",0.00393385351010058,1.53374977500512,0.214,0.118,1
"Aadac",0.00403135514688057,2.02023201787738,0.167,0.294,1
"Zranb2",0.00413104555098151,-2.11088191886052,0.881,0.333,1
"Mms19",0.00413104555098151,0.534141421526043,0.524,0.255,1
"Map3k7",0.00413104555098151,3.28716317805354,0.19,0.353,1
"Ctr9",0.00413104555098151,3.26993693641672,0.5,0.373,1
"Zfand2b",0.00413104555098151,3.52027317160434,0.19,0.098,1
"Unc45a",0.00413104555098151,2.73599615220666,0.19,0.137,1
